Source,Exclusive,OBJECTID,Join_Count,TARGET_FID,fid_,store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_grou,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips,Join_Cou_1,TARGET_F_1,STATEFP,COUNTYFP,GEOID,NAME,NAME_CAP,NAMELSAD,GISJOIN,Cty_ID,GA_AAA
SNAP,SNAP and WIC,9129,1,89,0,Bi-Lo 5754,st_336076,5214,US Highway 17,,Darien,GA,31305,Supermarket,16,Supermarket,6,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.43306,31.38559,usda,,0,SM,L037539,13,1,9128,13,191,13191,McIntosh,MCINTOSH,McIntosh County,G1301910,13191,12
SNAP,SNAP Exclusive,9130,1,46,0,Bickley's Convenience Stores 6903,st_385511,1088,Highway 19 N,,Thomaston,GA,30286,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,1,1,1,2016,2018,-84.33372,32.92576,usda,,0,CS,L041335,13,1,9129,13,293,13293,Upson,UPSON,Upson County,G1302930,13293,4
SNAP,SNAP Exclusive,9131,1,158,0,Big A Food Mart,st_330832,2780,Camp Creek Pkwy,,Atlanta,GA,30337,Convenience Store,3,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.48162,33.65171,usda,,0,CS,L168719,13,1,9130,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP and WIC,9132,1,158,0,Big A Food Mart,st_325581,568,Chappell Rd Nw,,Atlanta,GA,30318,Convenience Store,3,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.43398,33.77064,usda,,0,CS,L168720,13,1,9131,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP and WIC,9133,1,158,0,Big A Food Mart,st_050798,568,Chappell Rd Nw,,Atlanta,GA,30318,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,0,0,1,2018,2018,-84.43398,33.77064,usda,,0,CS,L168720,13,1,9132,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP Exclusive,9134,1,158,0,Big A Shell Food Mart,st_184614,7100,Old National Hwy,,Riverdale,GA,30296,Convenience Store,3,Small retail,4,0,1,1,1,1,1,1,1,1,1,1,2009,2018,-84.46869,33.56079,usda,,0,CS,L168722,13,1,9133,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP Exclusive,9135,1,158,0,Big AJ Store 2,st_247096,3817,Main St,,Atlanta,GA,30337,Convenience Store,3,Small retail,4,0,0,0,1,1,1,1,1,1,1,1,2011,2018,-84.44975,33.65113,usda,,0,CS,L035415,13,1,9134,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP Exclusive,9136,1,121,0,Big Bazaar 1,st_410482,6009,Ogeechee Rd,,Savannah,GA,31419,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,0,0,1,1,2017,2018,-81.26049,31.99716,usda,,0,CO,L168824,13,1,9135,13,51,13051,Chatham,CHATHAM,Chatham County,G1300510,13051,12
SNAP,SNAP Exclusive,9137,1,11,0,Big Bear,st_324461,503,N Piedmont Ave,,Rockmart,GA,30153,Convenience Store,3,Small retail,4,0,0,0,0,0,0,1,1,1,0,1,2014,2018,-85.04144,34.00165,usda,,0,CS,L040507,13,1,9136,13,233,13233,Polk,POLK,Polk County,G1302330,13233,1
SNAP,SNAP Exclusive,9138,1,158,0,BIG BEAR SUPERMARKET,st_142121,683,Joseph E Lowery Blvd SW,,Atlanta,GA,30310,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-84.41776,33.7367,usda,,0,SS,L168829,13,1,9137,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP and WIC,9139,1,56,0,Big Bear Supermarket 2,st_013752,2849,Candler Rd,,Decatur,GA,30034,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,0,1,2008,2018,-84.27209,33.70709,usda,,0,SS,L168830,13,1,9138,13,89,13089,DeKalb,DEKALB,DeKalb County,G1300890,13089,3
